what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1357814094620
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1357814094651
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1357814094728
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1357814094774
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1357814094883
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1357814094914
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1357814094975
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1357814095145
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1357814095269
os,sysinfo,,,"win32",1357814095269
arch,sysinfo,,,"x86",1357814095269
ws,sysinfo,,,"win32",1357814095269
locale,sysinfo,,,"de_DE",1357814095269
processors,sysinfo,,,"1",1357814095269
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1357814095269
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1357814095269
java.specification.name,sysinfo,,,"Java Platform API Specification",1357814095269
java.specification.vendor,sysinfo,,,"Oracle Corporation",1357814095269
java.specification.version,sysinfo,,,"1.7",1357814095269
java.vendor,sysinfo,,,"Oracle Corporation",1357814095269
java.version,sysinfo,,,"1.7.0_05",1357814095269
java.vm.info,sysinfo,,,"mixed mode, sharing",1357814095269
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1357814095269
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1357814095269
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1357814095269
java.vm.specification.version,sysinfo,,,"1.7",1357814095269
java.vm.vendor,sysinfo,,,"Oracle Corporation",1357814095269
java.vm.version,sysinfo,,,"23.1-b03",1357814095269
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1357814097479
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1357814097557
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1357814105577
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1357814105778
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1357814105840
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1357814106087
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1357814109750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1357814173928
activated,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1357814173959
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1357814175311
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1357814176503
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1357814176904
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1357814178117
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1357814178132
stopped,bundle,org.zend.php.debug.debugger,5.3.18.v20100603,"org.zend.php.debug.debugger",1357814178148
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1357814178179
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1357814178179
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1357814178194
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1357814178225
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1357814178225
